Longitude (x),Latitude (y),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Available_Water_Storage_mm_m,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,tcco2_column,nuevos1_co2_1000hPa,nuevos1_co_1000hPa,fco2gpp_flux,cape_geop_conv,surf_geop_z,geop_z_1000hPa
14.8,48.1,33.57626,54.066212,77.529999,5.0743051,83.33551,6.85,15.0,323.98367,59.91444720052498,foredeep basin,176.09210096487564,sedznpb,740.7961341732421,42.69323992032578,2.0,Metales Base,14.61,0.19,-15.2,0.0517528771334525,Acid plutonic rocks,422.01177978515625,0.0006722607067786157,2.6487137461117527e-07,0.0,1.9315476417541504,3078.541259765625,1878.9156494140625
15.2,47.3,31.491407,45.204823,74.739998,1.8104167,111.84422,5.15,15.0,1179.0007,30.172392508979417,wide rift,95.35971907584046,sedznpb,673.8265730631431,15.541120266763308,2.0,Minerales Industriales,49.34,0.01,-14.1,0.1419369370229335,Carbonate sedimentary rocks,421.9235534667969,0.0006791911437176168,3.0553391638932226e-07,7.269028157175228e-10,3.2886905670166016,8998.537109375,1880.428955078125
15.4,48.7,30.803556,100.92301,66.099998,3.729861,78.418488,5.275,15.0,581.33734,43.487551023602656,wide rift,115.74910539611052,nicrpge,825.9006271979821,35.76987911799824,2.0,Minerales Industriales,14.81,0.22,-13.0,0.0245471974536993,Metamorphics,421.6577453613281,0.0006659513455815613,2.1590831522644294e-07,0.0,0.8958333134651184,5318.5419921875,1822.8062744140625
15.8,48.1,33.085457,78.394608,72.739998,4.1395831,88.597893,4.8,15.0,522.90912,45.590481588667,wide rift,172.0822227889909,nicrpge,782.4510196849512,49.70839921096046,2.0,Minerales Industriales,36.4,0.19,-15.2,0.071728573477977,Mixed sedimentary rocks,421.70587158203125,0.0006656899349763989,2.1128946059434384e-07,0.0,1.8244047164916992,4702.54296875,1831.460205078125
16.0,47.2,38.127232,80.222977,87.150002,5.0493054,72.284546,5.175,15.0,352.18253,72.42526148961156,wide rift,148.39916449301074,sedznpb,705.110475164013,22.30429252085116,2.0,Minerales Industriales,24.12,0.19,-15.2,0.0575321549103396,Mixed sedimentary rocks,421.8512268066406,0.0006797871319577098,3.230121308206435e-07,0.0,3.0238094329833984,3424.541748046875,1840.7191162109375
16.9,48.6,25.063431,46.752705,57.330002,5.9548612,66.11554,7.15,15.0,155.48721,43.49883000227543,wide rift,166.40377219281987,nicrpge,889.7867428131416,20.19891789868172,2.0,Minerales Industriales,7.65,0.19,-15.2,0.0644817695421882,Unconsolidated sediments,421.7909240722656,0.0006672513554804027,2.3164665208241786e-07,0.0,2.047619104385376,1672.539794921875,1813.9156494140625
47.0,39.8,24.151217,103.7491,58.529999,7.1465278,45.639091,6.9,150.0,744.9375,65.05044331802155,foredeep basin,36.721451496369255,porcu,112.07306718386924,94.19944520981826,3.0,Metales Base,12.29,0.06,-11.8,0.20510605883346,Mixed sedimentary rocks,422.9457702636719,0.0006682962412014604,1.814093479879375e-07,0.0,25.574405670166016,6722.53955078125,1943.0740966796875
48.3,40.4,20.180922,88.3647,44.25,9.5666666,37.064857,6.8,150.0,20.704546,15.30635597182983,foredeep basin,177.23347595756155,porcu,266.3960224703065,149.7685663619708,2.0,Minerales Industriales,5.96,0.22,-13.0,0.2507912038885335,Unconsolidated sediments,423.08709716796875,0.0006603727233596146,1.5977069267592015e-07,0.0,19.815475463867188,-49.459228515625,1911.6365966796875
48.5,39.4,18.674818,151.34137,35.610001,10.079166,48.986012,7.45,150.0,17.118608,72.17935819416822,foredeep basin,168.15309363791098,nicrpge,280.96439629960264,149.3372031879082,2.0,Minerales Industriales,9.61,0.22,-13.0,0.3396040632308671,Unconsolidated sediments,423.15057373046875,0.0006592100253328681,1.641765550175478e-07,0.0,44.657737731933594,180.54090881347656,1925.112060546875
48.8,40.3,17.623909,-9.5280886,27.809999,8.8784723,44.96682,6.9,150.0,204.22301,43.78088193607826,foredeep basin,229.71309279185547,porcu,317.7825124011703,98.383810406591,2.0,Minerales Industriales,4.55,0.19,-15.2,0.3457819961529912,Unconsolidated sediments,422.91802978515625,0.0006627286202274263,1.627292931516422e-07,0.0,17.964284896850586,1784.539794921875,1912.7950439453125
