Longitude (x),Latitude (y),Flux (gm-2d-1),Geothermal_Gradient_C_deg_km,Bouguer_Anomaly_mGal,Heat_Flow_mW_m2,Annual_Mean_Temperature_C,Soil_Organic_Carbon_ton_ha,Soil_pH_H2O,Elevation_m,faults_distance_km,geological_province_prov_type,mineralization_distance_km,mineralization_TipoMinera,volcano_distance_km,mineral_commodity_distance_km,Slip_type_general_Id,mineral_commodity_group,Available_Water_Storage_mm/m,Tree_Cover_Percentage,Porosity,Permeability_permafrost,PGA_Mean,Lithology,CO2_1000hPa,CO_1000hPa,Geopotential_1000hPa,Flux_CO2_GPP,Total_Column_CO2,Geopotential_Sup_Avg
102.32,27.76,53.79,25.747486,-156.57146,53.400002,7.240972,50.596619,7.4,2063.7722,75.23879917797325,craton,83.83200034143337,carbonatite,508.5847513443537,35.17559577321963,2.0,Metales Base,150.0,26.08888888888889,0.19,-15.2,0.4393570499999162,Mixed sedimentary rocks,0.0006957530858926,4.377999971438841e-07,1375.063232421875,1.5530774533090153e-07,424.896240234375,17074.548828125
102.34,27.74,55.42,25.747486,-167.54768,57.305,6.0604167,55.069073,7.633333333333333,2334.3049,78.35678432184461,craton,83.47449514841844,sedznpb,509.2190782953825,32.09314513725451,2.0,Metales Base,150.0,30.493827160493822,0.19,-15.2,0.435941198695182,Mixed sedimentary rocks,0.0006805000011809,3.168298121636326e-07,1417.4984130859375,1.4676714954475758e-07,424.20257568359375,22382.54296875
102.35,27.72,113.35,27.089247,-172.43073,59.753338,5.8326392,55.261181,7.4,2461.6555,78.28959850025595,craton,81.38898568162266,sedznpb,508.9395392382066,29.63098645338896,2.0,Metales Base,150.0,20.08,0.19,-15.2,0.4419105480427731,Mixed sedimentary rocks,0.0006799060502089,3.025260753020121e-07,1530.583251953125,1.6907385713693657e-07,423.7893371582031,25764.53515625
102.36,27.68,46.87,27.089247,-155.65895,61.209999,5.3736115,56.219917,7.4,2622.4697,73.91503186286221,craton,78.2691276320567,sedznpb,507.4788410367457,25.38127876212908,2.0,Metales Base,150.0,12.255555555555556,0.19,-15.2,0.3969181001844917,Mixed sedimentary rocks,0.0006799060502089,3.025260753020121e-07,1530.583251953125,1.6907385713693657e-07,423.7893371582031,25764.53515625
102.37,27.66,88.52,27.595268,-151.35008,61.860001,5.1777778,57.795898,7.4,2689.6787,71.44306313770562,craton,76.26749497841793,sedznpb,507.23235090045176,22.950675480274857,2.0,Metales Base,150.0,14.78888888888889,0.19,-15.2,0.4224963918524219,Mixed sedimentary rocks,0.0006799060502089,3.025260753020121e-07,1530.583251953125,1.6907385713693657e-07,423.7893371582031,25764.53515625
102.39,27.62,124.17,27.595268,-163.68115,66.790001,4.7479167,64.648163,5.95,2806.6875,66.50137548140506,craton,72.35359486772488,sedznpb,506.7754810564524,18.131323498324768,2.0,Metales Base,150.0,28.666666666666668,0.09,-13.0,0.4267844638000333,Mixed sedimentary rocks,0.0006720659439451,2.6310524958717e-07,1550.7440185546875,1.685894801539689e-07,423.064697265625,28678.533203125
102.41,27.58,82.33,28.101292,-142.12714,66.790001,5.3104167,63.440094,7.3,2624.533,61.56328947789752,craton,68.5757872013344,sedznpb,506.36686562214766,13.417908875860858,2.0,Metales Base,150.0,29.55555555555556,0.19,-15.2,0.4022864479650911,Mixed sedimentary rocks,0.0006720659439451,2.6310524958717e-07,1550.7440185546875,1.685894801539689e-07,423.064697265625,28678.533203125
102.41,27.55,60.45,28.101292,-154.13049,69.579994,4.6555557,69.267921,6.55,2747.4612,58.78732738829881,craton,67.41761743255748,sedznpb,504.65951937915366,11.456400769915,2.0,Metales Base,150.0,39.977777777777774,0.19,-15.2,0.4091670441735885,Mixed sedimentary rocks,0.0006743197445757,2.720043426052144e-07,1565.031982421875,1.7591602841093845e-07,423.0411071777344,27952.533203125
102.43,27.55,112.87,28.904045,-145.24606,71.720001,6.3076386,59.640347,6.4,2304.2546,57.56181719149207,craton,65.32297635811136,sedznpb,506.5699984207506,9.58931621133071,2.0,Metales Base,150.0,19.89,0.19,-15.2,0.4394557662603576,Mixed sedimentary rocks,0.0006743197445757,2.720043426052144e-07,1565.031982421875,1.7591602841093845e-07,423.0411071777344,27952.533203125
102.44,27.52,87.98,28.904045,-150.54604,72.370003,6.7868056,60.239086,5.05,2178.7251,54.16506823562852,craton,63.21740219498409,sedznpb,505.8446715148815,7.027863032309545,2.0,Metales Base,150.0,27.77777777777778,0.19,-15.2,0.4479323353995502,Mixed sedimentary rocks,0.0006743197445757,2.720043426052144e-07,1565.031982421875,1.7591602841093845e-07,423.0411071777344,27952.533203125
102.46,27.49,48.32,29.7068,-137.96889,76.650002,7.2687497,55.914791,5.633333333333333,2009.7264,50.16293057644953,craton,60.16671330795984,sedznpb,506.1064445351372,4.521765761392973,2.0,Metales Base,150.0,26.77777777777778,0.06,-11.8,0.4098222794268198,Intermediate volcanic rocks,0.0006888764910399,3.064514828565734e-07,1490.7730712890625,1.7682032193988564e-07,424.1672668457031,21666.54296875
102.48,27.46,52.84,29.7068,-121.92843,76.650002,7.8159723,52.598373,5.0,1948.4442,46.16079712337132,craton,57.23339445011028,sedznpb,506.3997129738513,4.851440239856188,2.0,Metales Base,150.0,20.344444444444445,0.19,-15.2,0.3935103522660165,Intermediate volcanic rocks,0.0006888764910399,3.064514828565734e-07,1490.7730712890625,1.7682032193988564e-07,424.1672668457031,21666.54296875
102.5,27.44,46.58,29.7068,-135.73109,74.410004,8.177083,49.926182,5.1,1782.7104,43.08922945167693,craton,54.62408480040449,sedznpb,507.26028437085296,6.549068575064425,2.0,Metales Base,150.0,15.0,0.19,-15.2,0.3960052286436007,Carbonate sedimentary rocks,0.0006918325670994,3.2557980489400506e-07,1529.453857421875,1.9453139543657016e-07,423.4873962402344,22026.54296875
102.51,27.4,69.56,29.7068,-126.65862,74.410004,7.8590274,51.527409,5.05,1872.6431,38.77893496082514,craton,52.902111397198425,sedznpb,506.1040100611721,11.047970519552534,2.0,Metales Base,150.0,24.38888888888889,0.19,-15.2,0.4182493921796653,Carbonate sedimentary rocks,0.0006918325670994,3.2557980489400506e-07,1529.453857421875,1.9453139543657016e-07,423.4873962402344,22026.54296875
102.53,27.37,92.94,29.7068,-123.88078,74.410004,9.0277777,48.222618,5.0,1692.8313,34.777590252105334,craton,50.45232244685517,sedznpb,506.4872954971316,14.707928453759015,2.0,Metales Base,150.0,11.08,0.19,-15.2,0.4155714761720844,Carbonate sedimentary rocks,0.0006918325670994,3.2557980489400506e-07,1529.453857421875,1.9453139543657016e-07,423.4873962402344,22026.54296875
102.55,27.34,39.38,30.477959,-137.20589,71.519997,9.1472225,46.473976,5.85,1593.782,30.77645806116633,craton,48.210734181106325,sedznpb,506.9018905074218,18.51008552656883,2.0,Metales Base,150.0,13.255555555555556,0.19,-15.2,0.4132446697414361,Carbonate sedimentary rocks,0.0006892858073115,3.253758507071325e-07,1592.770751953125,1.7368542160056677e-07,423.8517150878906,21560.54296875
102.56,27.3,66.13,31.249115,-163.56052,68.629997,8.354167,48.916416,5.9,1776.4076,26.55566743178194,craton,47.43423489718278,sedznpb,505.85441433281846,23.07985311047049,2.0,Metales Base,150.0,21.0,0.06,-11.8,0.4217703657857229,Carbonate sedimentary rocks,0.0006892858073115,3.253758507071325e-07,1592.770751953125,1.7368542160056677e-07,423.8517150878906,21560.54296875
102.58,27.27,68.9,29.844137,-169.3047,68.629997,8.8888893,48.788357,6.7,1723.9476,22.570920667859387,craton,45.77530000208585,sedznpb,506.3352328250508,26.93535086834573,2.0,Metales Base,150.0,17.55,0.06,-11.8,0.4128046856225958,Carbonate sedimentary rocks,0.0006892858073115,3.253758507071325e-07,1592.770751953125,1.7368542160056677e-07,423.8517150878906,21560.54296875
102.6,27.23,45.51,29.844137,-155.9644,67.07,9.9520836,46.840382,5.85,1433.9952,17.767378259478853,craton,44.73926229030592,sedznpb,506.3595659212907,31.865908322231707,2.0,Metales Base,150.0,14.61,0.19,-15.2,0.4029583522455657,Carbonate sedimentary rocks,0.0006982828490436,3.259887932927086e-07,1604.9136962890625,1.8573093996110401e-07,423.8692932128906,21622.54296875
